Key,Comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa
Tolerance,許容範囲,許容範囲,Tolerance,容差,容差,허용치,Tolerancia,تحمل
Threshold,閾値,閾値,Threshold,阈值,閾值,임계값,Umbral,عتبة
Feather,境界のぼかし,境界のぼかし,Feather,羽化,羽化,페더,Desvanecimiento,تنعيم الحافة
Frame,フレーム,フレーム,Frame,帧,幀,프레임,Fotograma,إطار
Image,画像,画像,Image,图像,影像,이미지,Imagen,صورة
Mask,マスク,マスク,Mask,蒙版,遮罩,마스크,Máscara,قناع
KeyColor,キーの色,キー色,Key Color,键色,鍵色,키 색상,Color clave,لون المفتاح
Invert,反転,反転,Invert,反转,反轉,반전,Invertir,عكس
InvertAlpha,透明度を反転させる,アルファを反転,Invert Alpha,反转透明度,反轉透明度,알파 반전,Invertir alfa,عكس ألفا
Offset,オフセット,オフセット,Offset,偏移,偏移,오프셋,Desplazamiento,إزاحة
Hue,色相,色相,Hue,色相,色相,색상,Tono,درجة اللون
Saturation,彩度,彩度,Saturation,饱和度,飽和度,채도,Saturación,التشبع
Brightness,明度,明度,Brightness,亮度,亮度,밝기,Brillo,السطوع
Red,赤,赤,Red,红色,紅色,빨강,Rojo,أحمر
Green,緑,緑,Green,绿色,綠色,초록,Verde,أخضر
Blue,青,青,Blue,蓝色,藍色,파랑,Azul,أزرق
Alpha,アルファ,アルファ,Alpha,阿尔法,阿爾法,알파,Alfa,ألفا
Base,累乗の底,底,Base,底数,底數,밑,Base,الأساس
Exponent,指数,指数,Exponent,指数,指數,지수,Exponente,الأس
Radicand,被開平数,被開平数,Radicand,被开方数,被開方數,근수,Radicando,المقدار الجذري
Degree,累乗根,累乗根,Degree,幂根,冪根,거듭제곱근,Grado,الدرجة
AllowDiv0,0除算を許可する（答えを0と見做す）,0除算の許可,Allow Div0,允许除以0,允許除以0,0으로 나누기 허용,Permitir Div0,السماح بالقسمة على صفر
Allow0thRoot,0乗根を許可する（答えを0と見做す）,0乗根の許可,Allow 0th Root,允许零次根,允許零次根,0차 근 허용,Permitir raíz 0,السماح بالجذر الصفري
Circle,円,円,Circle,圆,圓,원,Círculo,دائرة
Triangle,三角形,三角形,Triangle,三角形,三角形,삼각형,Triángulo,مثلث
Rectangle,四角形,四角形,Rectangle,矩形,矩形,사각형,Rectángulo,مستطيل
Hexagon,六角形,六角形,Hexagon,六边形,六邊形,육각형,Hexágono,مسدس
Delaunay,ドロネー,ドロネー,Delaunay,德劳内,德勞內,드로네,Delaunay,ديلاوني
Voronoi,ボロノイ,ボロノイ,Voronoi,沃罗诺伊,沃羅諾伊,보로노이,Voronoi,فورونوي
MosaicType,モザイクの種類,モザイクの種類,Mosaic Type,马赛克类型,馬賽克類型,모자이크 종류,Tipo de mosaico,نوع الفسيفساء
WhitePoint,ホワイトポイント,ホワイトポイント,White Point,白点,白點,화이트 포인트,Punto blanco,نقطة بيضاء
BlackPoint,ブラックポイント,ブラックポイント,Black Point,黑点,黑點,블랙 포인트,Punto negro,نقطة سوداء
